#define mylogo_width 60
#define mylogo_height 36
const uint8_t mylogo[] PROGMEM = { 
  0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0x00, 0x00, 
  0x00, 0xF8, 0x7F, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x7F, 0xF5, 0x01, 
  0x00, 0xFE, 0x0F, 0x00, 0x80, 0x87, 0xE3, 0x00, 0xE0, 0xEF, 0x1F, 0x00, 
  0x00, 0xCF, 0x27, 0x00, 0xF8, 0x08, 0x0E, 0x00, 0x00, 0xE0, 0x07, 0x00, 
  0xF0, 0x3C, 0x02, 0x60, 0x00, 0xF0, 0x07, 0x00, 0x60, 0xFF, 0x00, 0xF8, 
  0x01, 0xBC, 0x03, 0x00, 0x00, 0xFC, 0x01, 0xFC, 0x03, 0x0F, 0x03, 0x00, 
  0x00, 0xBC, 0x0F, 0x7C, 0x86, 0x03, 0x00, 0x00, 0x00, 0x18, 0x7C, 0xEC, 
  0xEC, 0x00, 0x00, 0x00, 0x00, 0x00, 0xF0, 0xF7, 0x7F, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0x80, 0xFF, 0x1E, 0x1F, 0x00, 0x00, 0x00, 0x00, 0x14, 0xEF, 
  0xFD, 0x34, 0x00, 0x00, 0x00, 0x00, 0xEF, 0xFF, 0xFF, 0x0F, 0x00, 0x00, 
  0x00, 0x80, 0xDD, 0x6F, 0x0E, 0x07, 0x00, 0x00, 0x00, 0x00, 0x7C, 0xF4, 
  0x09, 0x04, 0x00, 0x00, 0x00, 0x00, 0x68, 0xFC, 0x0F, 0x00, 0x00, 0x00, 
  0x00, 0x00, 0xF8, 0xF7, 0xC6, 0x00, 0x00, 0x00, 0x00, 0x00, 0xF8, 0xFF, 
  0xFD, 0x03, 0x00, 0x00, 0x00, 0x00, 0xFC, 0xEF, 0xFF, 0x06, 0x00, 0x00, 
  0x00, 0x00, 0x78, 0xF7, 0xDE, 0x07, 0x00, 0x00, 0x00, 0x00, 0xF8, 0xEF, 
  0xDD, 0x06, 0x00, 0x00, 0x00, 0x00, 0xF8, 0x7F, 0xFF, 0x07, 0x00, 0x00, 
